                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf
               50319.1449                      0.2                      0.0                      0.0                      0.0                     0.02                     0.07                    83778                      0.0                     0.01                     0.06                       24       1556909367.4993649                       75                       75                      300                     0.46                    26185                     0.01                      0.0                     0.01                     0.01                      0.0
          50319.1449                 0.2                 0.0                 0.0                 0.0                0.02                0.07              394725                 0.0                0.01                0.06                  24  1556909367.4993649                  75                  75                 300                0.58              127408                0.18                0.01                0.11                0.06                 0.0
          50319.1449                 0.2                 0.0                 0.0                 0.0                0.02                0.07              368396                 0.0                0.01                0.06                  24  1556909367.4993649                  75                  75                 300                0.69              113743                0.19                0.01                0.11                0.07                 0.0
          50319.1449                 0.2                 0.0                 0.0                 0.0                0.02                0.07              340988                 0.0                0.01                0.06                  24  1556909367.4993649                  75                  75                 300                0.81              108279                 0.3                0.02                0.18                0.09                 0.0
          50319.1449                 0.2                 0.0                 0.0                 0.0                0.02                0.07              300210                 0.0                0.01                0.06                  24  1556909367.4993649                  75                  75                 300                0.92               97156                0.27                0.02                0.16                0.08                 0.0
          50319.1449                 0.2                 0.0                 0.0                 0.0                0.02                0.07               11903                 0.0                0.01                0.06                  24  1556909367.4993649                  75                  75                 300                1.04                3585                 0.0                 0.0                 0.0                 0.0                 0.0
                50319.145                     0.11                      0.0                      0.0                      0.0                     0.02                     0.07                    83665                      0.0                     0.01                     0.06                       24       1556909434.3748841                       75                       75                      300                     0.46                    26221                     0.02                      0.0                     0.01                     0.01                      0.0
           50319.145                0.11                 0.0                 0.0                 0.0                0.02                0.07              395862                 0.0                0.01                0.06                  24  1556909434.3748841                  75                  75                 300                0.58              127285                0.18                0.01                0.11                0.07                 0.0
           50319.145                0.11                 0.0                 0.0                 0.0                0.02                0.07              368244                 0.0                0.01                0.06                  24  1556909434.3748841                  75                  75                 300                0.69              113790                 0.2                0.02                0.12                0.06                 0.0
           50319.145                0.11                 0.0                 0.0                 0.0                0.02                0.07              341582                 0.0                0.01                0.06                  24  1556909434.3748841                  75                  75                 300                0.81              108052                 0.3                0.02                0.18                0.09                 0.0
           50319.145                0.11                 0.0                 0.0                 0.0                0.02                0.07              298693                 0.0                0.01                0.06                  24  1556909434.3748841                  75                  75                 300                0.92               97197                0.26                0.02                0.16                0.09                 0.0
           50319.145                0.11                 0.0                 0.0                 0.0                0.02                0.07               11954                 0.0                0.01                0.06                  24  1556909434.3748841                  75                  75                 300                1.04                3586                 0.0                 0.0                 0.0                 0.0                 0.0
               50319.1451                     1.19                      0.0                      0.0                     0.01                     0.26                     0.91                    54256                      0.0                     0.09                      0.8                       24       1556909567.2213888                       75                       75                      300                     0.45                    17350                     0.01                      0.0                     0.01                      0.0                      0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              695510                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                0.56              221078                0.23                0.01                0.13                0.09                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1349086                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                0.67              428081                0.59                0.04                0.33                0.21                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1388155                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                0.77              434778                0.69                0.04                 0.4                0.24                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1277601                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                0.88              400267                0.76                0.05                0.46                0.26                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1179177                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                0.99              378914                0.79                0.05                0.45                0.29                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1097493                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.09              353455                0.79                0.05                0.45                0.29                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91             1024593                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                 1.2              325889                 0.9                0.06                0.54                 0.3                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              958414                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.31              296031                0.88                0.06                0.55                0.28                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              902298                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.41              281584                0.87                0.06                0.52                 0.3                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              848849                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.52              269210                0.84                0.05                0.51                0.27                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              783264                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.63              254409                 0.8                0.05                0.48                0.27                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91              392243                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.73              127008                0.29                0.02                0.17                 0.1                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91               48924                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.84               15356                0.02                 0.0                0.01                0.01                 0.0
          50319.1451                1.19                 0.0                 0.0                0.01                0.26                0.91                 137                 0.0                0.09                 0.8                  24  1556909567.2213888                  75                  75                 300                1.95                  62                 0.0                 0.0                 0.0                 0.0                 0.0
               50319.1501                      1.2                      0.0                      0.0                     0.01                     0.25                     0.92                    54246                      0.0                     0.09                     0.81                       24        1556910174.698333                       75                       75                      300                     0.45                    17303                     0.01                      0.0                     0.01                      0.0                      0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              696644                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.56              221498                0.24                0.01                0.13                0.09                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1347992                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.67              428224                0.59                0.04                0.33                0.22                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1389840                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.77              435012                0.69                0.04                 0.4                0.24                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1275882                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.88              401172                0.76                0.05                0.46                0.26                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1178918                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.99              380947                0.79                0.05                0.46                0.28                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1094893                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.09              353796                0.78                0.05                0.45                0.28                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1023264                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                 1.2              326039                 0.9                0.06                0.54                0.29                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              961698                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.31              296451                0.86                0.06                0.53                0.27                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              902549                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.41              281328                0.87                0.06                0.52                0.29                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              847771                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.52              270092                0.84                0.06                0.52                0.27                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              784329                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.63              255609                0.79                0.05                0.47                0.26                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              392667                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.73              127814                0.29                0.02                0.17                0.09                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92               49140                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.84               15496                0.02                 0.0                0.01                0.01                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92                 167                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.95                  59                 0.0                 0.0                 0.0                 0.0                 0.0
               50619.1316                     0.13                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163012.5950909                       75                       75                      300                     0.75                   476337                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1317                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163038.6319063                       75                       75                      300                     0.75                   476162                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1317                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163065.5977232                       75                       75                      300                     0.75                   476023                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1318                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163092.0506105                       75                       75                      300                     0.75                   476254                     0.33                     0.31                      0.0                     0.02                      0.0
               50619.1318                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163118.6121254                       75                       75                      300                     0.75                   476132                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163145.9349742                       75                       75                      300                     0.75                   475196                     0.34                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163172.6656442                       75                       75                      300                     0.75                   475757                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163199.4945903                       75                       75                      300                     0.75                   475863                     0.32                     0.31                      0.0                     0.01                      0.0
                50619.132                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163225.5126748                       75                       75                      300                     0.75                   476187                     0.33                     0.32                      0.0                     0.01                      0.0
                50619.132                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163251.8202016                       75                       75                      300                     0.75                   475059                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1321                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163278.1992548                       75                       75                      300                     0.75                   475905                     0.32                     0.31                      0.0                     0.01                      0.0
