                  mocknum                 nthreads       getmock_calcwtheta              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               40319.1212                       32       1554307926.6961646                      0.0                      0.0                      0.0                     0.01                     0.18                   475811                      0.0                      0.0                     0.01                     0.75                   475811                     0.39                     0.11                     0.11                     0.18                      0.0
               40319.1251                       32       1554310316.1093798                      0.0                      0.0                      0.0                     0.01                     0.18                   476410                      0.0                      0.0                     0.01                     0.75                   476410                     0.41                     0.11                     0.11                     0.18                      0.0
                40519.101                       32       1554473418.1994634                    10.22                      0.0                     0.02                     0.12                     0.34                  3808984                      0.0                     0.03                     0.12                      0.6                   994727                     0.46                     0.12                     0.12                     0.23                      0.0
           40519.101                  32  1554473418.1994634               10.22                 0.0                0.02                0.12                0.34             3808984                 0.0                0.03                0.12                 1.0             1410929                1.31                0.36                0.33                0.62                 0.0
           40519.101                  32  1554473418.1994634               10.22                 0.0                0.02                0.12                0.34             3808984                 0.0                0.03                0.12                 1.4             1073567                1.38                0.37                0.37                0.63                 0.0
           40519.101                  32  1554473418.1994634               10.22                 0.0                0.02                0.12                0.34             3808984                 0.0                0.03                0.12                 1.8              329761                0.19                0.05                0.05                0.08                 0.0
               40519.1519                       32       1554491978.0575225                      0.0                      0.0                     0.01                     0.12                     0.33                  3807496                      0.0                     0.03                     0.12                      0.6                   994238                     0.47                     0.12                     0.12                     0.23                      0.0
          40519.1519                  32  1554491978.0575225                 0.0                 0.0                0.01                0.12                0.33             3807496                 0.0                0.03                0.12                 1.0             1410136                1.28                0.34                0.33                0.62                 0.0
          40519.1519                  32  1554491978.0575225                 0.0                 0.0                0.01                0.12                0.33             3807496                 0.0                0.03                0.12                 1.4             1073104                1.38                0.37                0.37                0.64                 0.0
          40519.1519                  32  1554491978.0575225                 0.0                 0.0                0.01                0.12                0.33             3807496                 0.0                0.03                0.12                 1.8              330018                0.19                0.05                0.05                0.09                 0.0
               40519.1526                       32       1554492387.3117812                      0.0                      0.0                     0.01                     0.12                     0.35                  3807640                      0.0                     0.03                     0.12                      0.6                   994347                     0.46                     0.12                     0.12                     0.23                      0.0
          40519.1526                  32  1554492387.3117812                 0.0                 0.0                0.01                0.12                0.35             3807640                 0.0                0.03                0.12                 1.0             1410240                1.28                0.34                0.33                0.62                 0.0
          40519.1526                  32  1554492387.3117812                 0.0                 0.0                0.01                0.12                0.35             3807640                 0.0                0.03                0.12                 1.4             1072956                1.39                0.37                0.37                0.65                 0.0
          40519.1526                  32  1554492387.3117812                 0.0                 0.0                0.01                0.12                0.35             3807640                 0.0                0.03                0.12                 1.8              330097                0.19                0.06                0.05                0.08                 0.0
               40519.1559                       32        1554494373.384062                      0.0                      0.0                     0.01                     0.12                     0.36                  3801648                      0.0                     0.04                     0.12                      0.6                   993084                     0.47                     0.12                     0.12                     0.23                      0.0
          40519.1559                  32   1554494373.384062                 0.0                 0.0                0.01                0.12                0.36             3801648                 0.0                0.04                0.12                 1.0             1407700                1.34                0.35                0.34                0.65                 0.0
          40519.1559                  32   1554494373.384062                 0.0                 0.0                0.01                0.12                0.36             3801648                 0.0                0.04                0.12                 1.4             1071735                1.37                0.36                0.36                0.65                 0.0
          40519.1559                  32   1554494373.384062                 0.0                 0.0                0.01                0.12                0.36             3801648                 0.0                0.04                0.12                 1.8              329129                0.19                0.05                0.05                0.08                 0.0
