                  mocknum                 nthreads       getmock_calcwtheta                 numtbins              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               40819.1224                       32       1554740666.8164673                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3802056                      0.0                     0.03                     0.11                     0.67                  1500904                     3.02                     0.81                     0.79                     1.42                      0.0
          40819.1224                  32  1554740666.8164673                  74                 0.0                 0.0                0.01                0.11                0.14             3802056                 0.0                0.03                0.11                 1.2             1635207                7.39                2.13                2.07                3.19                 0.0
          40819.1224                  32  1554740666.8164673                  74                 0.0                 0.0                0.01                0.11                0.14             3802056                 0.0                0.03                0.11                1.73              665945                2.08                0.65                0.63                 0.8                 0.0
               40819.1237                       32       1554741438.8113394                       74                      0.0                      0.0                     0.01                     0.11                     0.16                  3808704                      0.0                     0.03                     0.12                     0.67                  1502610                     3.04                     0.79                     0.81                     1.44                      0.0
          40819.1237                  32  1554741438.8113394                  74                 0.0                 0.0                0.01                0.11                0.16             3808704                 0.0                0.03                0.12                 1.2             1637584                7.44                2.12                2.11                3.21                 0.0
          40819.1237                  32  1554741438.8113394                  74                 0.0                 0.0                0.01                0.11                0.16             3808704                 0.0                0.03                0.12                1.73              668510                2.06                0.64                0.63                 0.8                 0.0
                40819.125                       32       1554742210.1647704                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3805160                      0.0                     0.03                     0.11                     0.67                  1501102                     2.99                     0.79                     0.78                     1.42                      0.0
           40819.125                  32  1554742210.1647704                  74                 0.0                 0.0                0.01                0.11                0.15             3805160                 0.0                0.03                0.11                 1.2             1636454                7.38                2.06                2.09                3.23                 0.0
           40819.125                  32  1554742210.1647704                  74                 0.0                 0.0                0.01                0.11                0.15             3805160                 0.0                0.03                0.11                1.73              667604                2.06                0.64                0.62                0.79                 0.0
               40819.1302                       32        1554742973.098061                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3807448                      0.0                     0.03                     0.11                     0.67                  1503355                     2.98                     0.77                     0.79                     1.41                      0.0
          40819.1302                  32   1554742973.098061                  74                 0.0                 0.0                0.01                0.11                0.14             3807448                 0.0                0.03                0.11                 1.2             1636828                7.51                2.09                2.12                 3.3                 0.0
          40819.1302                  32   1554742973.098061                  74                 0.0                 0.0                0.01                0.11                0.14             3807448                 0.0                0.03                0.11                1.73              667265                2.07                0.65                0.62                 0.8                 0.0
               40819.1315                       32       1554743743.8975816                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3810488                      0.0                     0.03                     0.11                     0.67                  1503867                     3.01                     0.79                     0.78                     1.44                      0.0
          40819.1315                  32  1554743743.8975816                  74                 0.0                 0.0                0.01                0.11                0.14             3810488                 0.0                0.03                0.11                 1.2             1638130                7.46                 2.1                2.12                3.24                 0.0
          40819.1315                  32  1554743743.8975816                  74                 0.0                 0.0                0.01                0.11                0.14             3810488                 0.0                0.03                0.11                1.73              668491                2.08                0.65                0.62                0.81                 0.0
               40819.1328                       32       1554744514.2137597                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3806208                      0.0                     0.03                     0.11                     0.67                  1502596                     2.99                     0.77                      0.8                     1.42                      0.0
          40819.1328                  32  1554744514.2137597                  74                 0.0                 0.0                0.01                0.11                0.14             3806208                 0.0                0.03                0.11                 1.2             1636616                7.42                2.09                2.13                3.19                 0.0
          40819.1328                  32  1554744514.2137597                  74                 0.0                 0.0                0.01                0.11                0.14             3806208                 0.0                0.03                0.11                1.73              666996                2.07                0.65                0.62                 0.8                 0.0
               40819.1341                       32       1554745279.5441604                       74                      0.0                      0.0                     0.01                     0.12                     0.15                  3809784                      0.0                     0.03                     0.11                     0.67                  1502974                      3.0                     0.79                     0.79                     1.42                      0.0
          40819.1341                  32  1554745279.5441604                  74                 0.0                 0.0                0.01                0.12                0.15             3809784                 0.0                0.03                0.11                 1.2             1638158                7.43                2.07                2.11                3.26                 0.0
          40819.1341                  32  1554745279.5441604                  74                 0.0                 0.0                0.01                0.12                0.15             3809784                 0.0                0.03                0.11                1.73              668652                2.08                0.65                0.64                0.79                 0.0
               40819.1354                       32       1554746048.9002519                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3801120                      0.0                     0.03                     0.11                     0.67                  1500520                     2.97                      0.8                     0.77                      1.4                      0.0
          40819.1354                  32  1554746048.9002519                  74                 0.0                 0.0                0.01                0.11                0.15             3801120                 0.0                0.03                0.11                 1.2             1634722                7.52                2.17                2.12                3.24                 0.0
          40819.1354                  32  1554746048.9002519                  74                 0.0                 0.0                0.01                0.11                0.15             3801120                 0.0                0.03                0.11                1.73              665878                2.04                0.63                0.62                0.79                 0.0
               40819.1406                       32       1554746819.3355618                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3807448                      0.0                     0.03                     0.11                     0.67                  1502559                     3.01                      0.8                      0.8                     1.41                      0.0
          40819.1406                  32  1554746819.3355618                  74                 0.0                 0.0                0.01                0.11                0.14             3807448                 0.0                0.03                0.11                 1.2             1637511                7.52                2.11                2.16                3.25                 0.0
          40819.1406                  32  1554746819.3355618                  74                 0.0                 0.0                0.01                0.11                0.14             3807448                 0.0                0.03                0.11                1.73              667378                2.05                0.63                0.62                 0.8                 0.0
               40819.1419                       32       1554747590.9502892                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3804128                      0.0                     0.03                     0.11                     0.67                  1501095                      3.0                     0.78                     0.79                     1.43                      0.0
          40819.1419                  32  1554747590.9502892                  74                 0.0                 0.0                0.01                0.11                0.15             3804128                 0.0                0.03                0.11                 1.2             1636002                7.51                2.14                2.14                3.22                 0.0
          40819.1419                  32  1554747590.9502892                  74                 0.0                 0.0                0.01                0.11                0.15             3804128                 0.0                0.03                0.11                1.73              667031                2.06                0.63                0.62                0.81                 0.0
               40819.1451                       32        1554749499.661766                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3810328                      0.0                     0.03                     0.11                     0.67                  1504115                     3.06                      0.8                     0.82                     1.44                      0.0
          40819.1451                  32   1554749499.661766                  74                 0.0                 0.0                0.01                0.11                0.15             3810328                 0.0                0.03                0.11                 1.2             1638679                7.44                2.13                2.08                3.23                 0.0
          40819.1451                  32   1554749499.661766                  74                 0.0                 0.0                0.01                0.11                0.15             3810328                 0.0                0.03                0.11                1.73              667534                2.05                0.64                0.61                 0.8                 0.0
               40819.1504                       32       1554750275.9160416                       74                      0.0                      0.0                     0.01                     0.12                     0.15                  3805832                      0.0                     0.03                     0.11                     0.67                  1501625                     3.02                     0.77                     0.81                     1.43                      0.0
          40819.1504                  32  1554750275.9160416                  74                 0.0                 0.0                0.01                0.12                0.15             3805832                 0.0                0.03                0.11                 1.2             1636261                7.43                2.13                2.13                3.17                 0.0
          40819.1504                  32  1554750275.9160416                  74                 0.0                 0.0                0.01                0.12                0.15             3805832                 0.0                0.03                0.11                1.73              667946                2.07                0.65                0.62                0.79                 0.0
               40819.1517                       32       1554751045.2474372                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808032                      0.0                     0.03                     0.11                     0.67                  1503222                     3.01                     0.79                      0.8                     1.42                      0.0
          40819.1517                  32  1554751045.2474372                  74                 0.0                 0.0                0.01                0.11                0.14             3808032                 0.0                0.03                0.11                 1.2             1637490                7.41                2.09                 2.1                3.23                 0.0
          40819.1517                  32  1554751045.2474372                  74                 0.0                 0.0                0.01                0.11                0.14             3808032                 0.0                0.03                0.11                1.73              667320                2.06                0.63                0.62                 0.8                 0.0
                40819.153                       32       1554751811.9375358                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3805512                      0.0                     0.03                     0.11                     0.67                  1502871                      3.0                     0.78                     0.79                     1.43                      0.0
           40819.153                  32  1554751811.9375358                  74                 0.0                 0.0                0.01                0.11                0.14             3805512                 0.0                0.03                0.11                 1.2             1637035                7.34                2.06                2.06                3.22                 0.0
           40819.153                  32  1554751811.9375358                  74                 0.0                 0.0                0.01                0.11                0.14             3805512                 0.0                0.03                0.11                1.73              665606                2.05                0.63                0.63                0.79                 0.0
               40819.1542                       32       1554752572.1626558                       74                      0.0                      0.0                     0.01                     0.12                     0.14                  3803088                      0.0                     0.03                     0.11                     0.67                  1501790                     2.98                     0.78                     0.78                     1.41                      0.0
          40819.1542                  32  1554752572.1626558                  74                 0.0                 0.0                0.01                0.12                0.14             3803088                 0.0                0.03                0.11                 1.2             1635100                7.44                2.06                2.13                3.25                 0.0
          40819.1542                  32  1554752572.1626558                  74                 0.0                 0.0                0.01                0.12                0.14             3803088                 0.0                0.03                0.11                1.73              666198                2.06                0.64                0.63                0.79                 0.0
               40819.1555                       32       1554753338.5117388                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3811880                      0.0                     0.03                     0.11                     0.67                  1504353                     3.04                      0.8                     0.81                     1.43                      0.0
          40819.1555                  32  1554753338.5117388                  74                 0.0                 0.0                0.01                0.11                0.14             3811880                 0.0                0.03                0.11                 1.2             1638781                7.51                2.14                2.11                3.26                 0.0
          40819.1555                  32  1554753338.5117388                  74                 0.0                 0.0                0.01                0.11                0.14             3811880                 0.0                0.03                0.11                1.73              668746                2.08                0.64                0.64                 0.8                 0.0
               40819.1608                       32        1554754113.387237                       74                      0.0                      0.0                     0.01                     0.12                     0.16                  3807560                      0.0                     0.03                     0.12                     0.67                  1502839                     3.01                     0.81                     0.78                     1.41                      0.0
          40819.1608                  32   1554754113.387237                  74                 0.0                 0.0                0.01                0.12                0.16             3807560                 0.0                0.03                0.12                 1.2             1637638                7.46                2.14                 2.1                3.21                 0.0
          40819.1608                  32   1554754113.387237                  74                 0.0                 0.0                0.01                0.12                0.16             3807560                 0.0                0.03                0.12                1.73              667083                2.05                0.63                0.62                 0.8                 0.0
