                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands               calc_stats                 nthreads                 numtbins                 numrbins                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
                50119.113                     0.13                      0.0                      0.0                      0.0                     0.01                     0.02                   500000                      0.0                      0.0                     0.01       1556724630.4417431                       24                       75                       24                     0.57                   266935                     0.11                     0.03                     0.03                     0.05                      0.0
           50119.113                0.13                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556724630.4417431                  24                  75                  24                0.92              208879                0.12                0.03                0.03                0.06                 0.0
           50119.113                0.13                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556724660.1958427                  24                  75                  24                0.57              266935                0.11                0.03                0.03                0.05                 0.0
           50119.113                0.13                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556724660.1958427                  24                  75                  24                0.92              208879                0.12                0.03                0.03                0.06                 0.0
               50119.1135                     0.07                      0.0                      0.0                      0.0                     0.02                     0.03                   500000                      0.0                      0.0                     0.02       1556724933.6941118                       24                       25                       24                     0.46                    26273                      0.0                      0.0                      0.0                      0.0                      0.0
          50119.1135                0.07                 0.0                 0.0                 0.0                0.02                0.03              500000                 0.0                 0.0                0.02  1556724933.6941118                  24                  25                  24                0.58              127552                0.02                 0.0                 0.0                0.01                 0.0
          50119.1135                0.07                 0.0                 0.0                 0.0                0.02                0.03              500000                 0.0                 0.0                0.02  1556724933.6941118                  24                  25                  24                0.69              113816                0.01                 0.0                 0.0                0.01                 0.0
          50119.1135                0.07                 0.0                 0.0                 0.0                0.02                0.03              500000                 0.0                 0.0                0.02  1556724933.6941118                  24                  25                  24                0.81              108095                0.02                 0.0                 0.0                0.01                 0.0
          50119.1135                0.07                 0.0                 0.0                 0.0                0.02                0.03              500000                 0.0                 0.0                0.02  1556724933.6941118                  24                  25                  24                0.92               97240                0.02                 0.0                 0.0                0.01                 0.0
          50119.1135                0.07                 0.0                 0.0                 0.0                0.02                0.03              500000                 0.0                 0.0                0.02  1556724933.6941118                  24                  25                  24                1.04                3669                 0.0                 0.0                 0.0                 0.0                 0.0
               50119.1305                     0.15                      0.0                      0.0                      0.0                     0.02                     0.02                   500000                      0.0                      0.0                     0.02        1556730353.810973                       24                       25                       24                     0.46                    26126                      0.0                      0.0                      0.0                      0.0                      0.0
          50119.1305                0.15                 0.0                 0.0                 0.0                0.02                0.02              500000                 0.0                 0.0                0.02   1556730353.810973                  24                  25                  24                0.58              127122                0.01                 0.0                 0.0                0.01                 0.0
          50119.1305                0.15                 0.0                 0.0                 0.0                0.02                0.02              500000                 0.0                 0.0                0.02   1556730353.810973                  24                  25                  24                0.69              113640                0.01                 0.0                 0.0                0.01                 0.0
          50119.1305                0.15                 0.0                 0.0                 0.0                0.02                0.02              500000                 0.0                 0.0                0.02   1556730353.810973                  24                  25                  24                0.81              108014                0.02                 0.0                 0.0                0.01                 0.0
          50119.1305                0.15                 0.0                 0.0                 0.0                0.02                0.02              500000                 0.0                 0.0                0.02   1556730353.810973                  24                  25                  24                0.92               97389                0.02                 0.0                 0.0                0.01                 0.0
          50119.1305                0.15                 0.0                 0.0                 0.0                0.02                0.02              500000                 0.0                 0.0                0.02   1556730353.810973                  24                  25                  24                1.04                3527                 0.0                 0.0                 0.0                 0.0                 0.0
               50119.1625                     0.14                      0.0                      0.0                      0.0                     0.01                     0.02                   500000                      0.0                      0.0                     0.01       1556742364.5709367                       24                       53                       53                     0.52                   153276                     0.03                     0.01                     0.01                     0.01                      0.0
          50119.1625                0.14                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556742364.5709367                  24                  53                  53                0.75              221796                0.08                0.02                0.02                0.04                 0.0
               50119.1626                     0.14                      0.0                      0.0                      0.0                     0.01                     0.02                   500000                      0.0                      0.0                     0.01       1556742410.9772708                       24                       53                       53                     0.52                   153867                     0.03                     0.01                     0.01                     0.01                      0.0
          50119.1626                0.14                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556742410.9772708                  24                  53                  53                0.75              222052                0.08                0.02                0.02                0.04                 0.0
          50119.1626                0.14                 0.0                 0.0                 0.0                0.01                0.02              500000                 0.0                 0.0                0.01  1556742410.9772708                  24                  53                  53                0.98              101103                0.03                0.01                0.01                0.01                 0.0
