                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf                  calc_xi                  calc_wp
               50219.1518                      1.6                      0.0                      0.0                      0.0                     0.01                      0.3                  1500000                      0.0                     0.01                     0.04                       24       1556824822.8589585                       51                       51                      300                     0.25                   475893                     0.26                     0.02                     0.15                      0.1                      0.0                     0.02                     0.04
               50219.1548                     0.23                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556826501.357025                       50                       50                      300                     0.25                   476175                     1.24                     0.02                     0.97                     0.25                      0.0                     0.02                     0.04
               50219.1549                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556826588.4929695                       50                       50                      300                     0.25                   475385                     1.23                     0.02                     0.96                     0.25                      0.0                     0.02                     0.04
               50219.1551                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556826674.9378965                       50                       50                      300                     0.25                   475627                     1.23                     0.02                     0.96                     0.25                      0.0                     0.02                     0.04
               50219.1552                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556826761.227422                       50                       50                      300                     0.75                   475631                    15.97                      0.2                    13.37                      2.4                      0.0                     0.02                     0.04
               50219.1608                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556827732.4860399                       50                       50                      300                     0.75                   475652                    15.93                      0.2                    13.33                      2.4                      0.0                     0.02                     0.04
               50219.1624                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556828700.820695                       50                       50                      300                     0.75                   475968                     15.9                      0.2                    13.29                     2.41                      0.0                     0.02                     0.04
                50219.164                     0.23                      0.0                      0.0                     0.01                     0.08                     0.12                  4000000                      0.0                     0.03                     0.09                       24        1556829672.751149                       50                       50                      300                      1.2                  3800624                    16.53                     4.21                     4.64                     7.67                      0.0                     0.14                     0.31
               50219.1658                     0.23                      0.0                      0.0                     0.01                     0.09                     0.12                  4000000                      0.0                     0.03                     0.09                       24       1556830706.2933831                       50                       50                      300                      1.2                  3811640                    16.73                     4.25                     4.79                     7.69                      0.0                     0.14                     0.31
               50219.1715                     0.23                      0.0                      0.0                     0.01                     0.08                     0.12                  4000000                      0.0                     0.03                     0.09                       24       1556831751.6748755                       50                       50                      300                      1.2                  3809016                    16.78                     4.33                     4.69                     7.76                      0.0                     0.14                     0.31
               50219.1909                     0.24                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556838574.040444                       51                       51                      300                     0.25                   475782                     1.25                     0.02                     0.98                     0.26                      0.0                     0.01                     0.04
                50219.191                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556838661.641054                       51                       51                      300                     0.25                   476283                     1.25                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1912                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556838749.0674927                       51                       51                      300                     0.25                   476177                     1.24                     0.02                     0.97                     0.25                      0.0                     0.01                     0.04
               50219.1913                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556838835.9467788                       51                       51                      300                     0.25                   475450                     1.24                     0.02                     0.97                     0.25                      0.0                     0.01                     0.04
               50219.1915                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556838922.404968                       51                       51                      300                     0.25                   475403                     1.24                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1916                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556839008.9862676                       51                       51                      300                     0.25                   475354                     1.25                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1918                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556839095.6027355                       51                       51                      300                     0.25                   477401                     1.24                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1919                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556839182.3948257                       51                       51                      300                     0.25                   475465                     1.26                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1921                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556839270.2035847                       51                       51                      300                     0.25                   475283                     1.25                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
               50219.1922                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556839357.470105                       51                       51                      300                     0.25                   475841                     1.25                     0.02                     0.98                     0.25                      0.0                     0.01                     0.04
                50219.193                     0.27                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                      0.1                       24       1556839831.2584617                       75                       75                      300                     0.25                   475135                      2.0                     0.03                     1.58                     0.39                      0.0                     0.02                     0.05
               50219.1932                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556839965.7420597                       75                       75                      300                     0.25                   474952                     1.83                     0.03                     1.46                     0.35                      0.0                     0.01                     0.05
